id,url,score,name,rank,n_reviews,city,Utmärkt,Hemskt,tags,Mycket bra,Medelmåttigt,county,Dåligt
23,https://www.tripadvisor.se/Attraction_Review-g3464126-d3685459-Reviews-Lofsdalens_Fjallanlaggningar-Lofsdalen_Jamtland_County_Jamtland_and_Harjedalen.html,4.5,Lofsdalens Fjällanläggningar,1,11,Lofsdalen,8,0,Skid- och snowboardområden|Natur och parker|Friluftsaktiviteter,1,0,Jämtlands län›,0
24,https://www.tripadvisor.se/Attraction_Review-g4414408-d7277555-Reviews-Dragon_Gate-Alvkarleby_Uppsala_County.html,2.5,Dragon Gate,1,16,Älvkarleby,2,4,Specialmuseer|Museer,0,5,Uppsala län›,2
25,https://www.tripadvisor.se/Attraction_Review-g2540457-d7593134-Reviews-Inglingehogen-Ingelstad_Kronoberg_County.html,3.0,Inglingehögen,1,1,Ingelstad,0,0,,0,1,Kronobergs län›,0
26,https://www.tripadvisor.se/Attraction_Review-g5111767-d5038701-Reviews-Biskopstorp_Naturreservat-Kvibille_Halland_County_West_Coast.html,5.0,Biskopstorp Naturreservat,1,1,Kvibille,1,0,Natur- och vildmarksområden|Natur och parker,0,0,Hallands län›,0
27,https://www.tripadvisor.se/Attraction_Review-g6160381-d5484712-Reviews-Flarken_Adventure-Flarken_Vasterbotten_County.html,3.5,Flarken Adventure,1,7,Flarken,3,1,Andra friluftsaktiviteter|Friluftsaktiviteter,1,1,Västerbottens län›,1
28,https://www.tripadvisor.se/Attraction_Review-g4232160-d8049492-Reviews-Spirit_of_Hven_Distillery-Sankt_Ibb_Skane_County.html,5.0,Spirit of Hven Distillery,1,2,Sankt Ibb,1,0,Specialmuseer|Vetenskapsmuseer|Historiska museer|Museer|Mer,0,0,Skåne län›,0
29,https://www.tripadvisor.se/Attraction_Review-g2146184-d6238666-Reviews-Galleri_Jeune-Kolsva_Vastmanland_County.html,,Galleri Jeune,1,,Kolsva,,,Konstgallerier|Shopping|Museer,,,Västmanlands län›,
30,https://www.tripadvisor.se/Attraction_Review-g1124269-d2254365-Reviews-ABC_Seglarskola-Saltsjo_Duvnas.html,2.0,ABC Seglarskola,1,2,Saltsjö-Duvnäs,0,0,Lärorika platser|Båtturer|Rundturer|Sevärdheter och landmärken|Vattensport och rundturer med båt|Friluftsaktiviteter,0,1,Stockholms län›,0
31,https://www.tripadvisor.se/Attraction_Review-g6582235-d6553181-Reviews-Radio_Teletekniska_Museet-Ekeby_Skane_County.html,4.0,Radio & Teletekniska Museét,1,1,Ekeby,0,0,Specialmuseer|Museer,1,0,Skåne län›,0
32,https://www.tripadvisor.se/Attraction_Review-g1588184-d3545858-Reviews-Smalandet_Markaryds_Algsafari-Markaryd_Vasterbotten_County.html,4.5,Smålandet Markaryds Älgsafari,1,52,Markaryd,9,0,Natur- och vildmarksområden|Natur och parker,6,1,Västerbottens län›,0
33,https://www.tripadvisor.se/Attraction_Review-g3225578-d545898-Reviews-Skokloster_Castle-Skokloster_Uppsala_County.html,4.5,Skoklosters Slott,1,63,Skokloster,10,0,Slott|Sevärdheter och landmärken,9,0,Uppsala län›,1
34,https://www.tripadvisor.se/Attraction_Review-g3960800-d8633831-Reviews-Gransfors_Bruk-Bergsjo_Gavleborg_County_Midnight_Sun_Coast.html,4.5,Gransfors Bruk,1,2,Bergsjö,0,0,Specialmuseer|Museer,1,0,Gävleborgs län›,0
35,https://www.tripadvisor.se/Attraction_Review-g3478504-d3783389-Reviews-Harp_Art_Lab-Harplinge_Halland_County_West_Coast.html,5.0,Harp Art Lab,1,1,Harplinge,1,0,Konstgallerier|Museer|Shopping,0,0,Hallands län›,0
36,https://www.tripadvisor.se/Attraction_Review-g1596408-d10312882-Reviews-Fiskflyg-Porjus_Norrbotten_County.html,,Fiskflyg,1,,Porjus,,,Helikopterturer|Rundturer,,,Norrbottens län›,
37,https://www.tripadvisor.se/Attraction_Review-g5990329-d5990258-Reviews-Lesjofors_Museum-Lesjofors_Varmland_County.html,5.0,Lesjöfors Museum,1,4,Lesjöfors,1,0,Specialmuseer|Museer,0,0,Värmlands län›,0
38,https://www.tripadvisor.se/Attraction_Review-g672751-d6976860-Reviews-Falsterbo_strand-Falsterbo_Kalmar_County.html,5.0,Falsterbo strand,1,20,Falsterbo,9,0,Andra friluftsaktiviteter|Friluftsaktiviteter,3,0,Kalmar län›,0
39,https://www.tripadvisor.se/Attraction_Review-g3225560-d7398940-Reviews-Gourmetvandring-Stjarnhov_Sodermanland_County.html,5.0,Gourmetvandring,1,1,Stjärnhov,1,0,,0,0,Södermanlands län›,0
40,https://www.tripadvisor.se/Attraction_Review-g3617754-d3613207-Reviews-Arkosund_Archipelago-Arkosund_Ostergotland_County.html,4.5,Arkösunds Skärgård,1,3,Arkösund,1,0,Natur- och vildmarksområden|Natur och parker,2,0,Östergötlands län›,0
41,https://www.tripadvisor.se/Attraction_Review-g3225539-d7376196-Reviews-Logdo_Bruk-Timra_Vasternorrland_County_Midnight_Sun_Coast.html,5.0,Logdo Bruk,1,1,Timrå,1,0,Intressanta platser och landmärken|Sevärdheter och landmärken,0,0,Västernorrlands län›,0
